3.234	2.346	1.877	1.526	1.727	1.763	1.808	1.807	2.146	2.188	2.244	2.666
2.411	1.981	1.817	1.708	1.734	1.650	1.759	1.804	2.019	2.405	2.312	2.899
2.539	2.609	2.289	1.717	1.862	1.781	1.667	1.830	2.004	2.284	2.779	3.069
3.024	2.821	2.073	1.777	1.831	1.908	1.880	2.085	2.177	2.320	2.547	3.009
2.613	2.447	2.070	1.849	1.724	1.695	1.639	1.788	1.887	2.102	2.641	2.721
2.854	2.700	2.194	1.667	1.753	1.734	1.675	1.839	1.896	2.095	2.746	3.073
3.003	2.417	1.994	1.816	1.677	1.613	1.618	1.794	1.983	2.060	2.444	2.485
2.225	2.041	1.893	1.807	1.653	1.706	1.594	1.709	1.936	2.015	2.455	2.876
2.152	1.895	1.991	1.784	1.647	1.686	1.691	1.917	2.132	2.103	2.500	2.865
2.639	2.112	1.771	1.713	1.892	1.838	1.868	1.968	2.578	2.677	2.846	3.563
